Minor Nm,Minor Dept,Minor Div,Minor Clg,Academic Yr,Ucb Level1 Ethnic Rollup Desc,Person Gender Desc,Entry Status Desc
History UG,History,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,Underrepresented Minority,Female,New Freshmen
Food Systems UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2017-18,White/Other,Female,New Freshmen
Russian Literature UG,Slavic Languages & Literatures,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,Asian/Pacific Islander,Male,New Freshmen
Chinese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Spanish Linguistics UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Male,New Freshmen
Cal Teach Sci & Math Edu UG,Education,Grad School of Education,Grad School of Education,2017-18,White/Other,Male,New Freshmen
Toxicology UG,Nutritional Sciences & Tox,Clg of Natural Resources,Clg of Natural Resources,2017-18,Asian/Pacific Islander,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,Asian/Pacific Islander,Female,New Freshmen
Chinese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Bioengineering UG,Bioengineering,Clg of Engineering,Clg of Engineering,2017-18,International,Male,New Freshmen
Cal Teach Sci & Math Edu UG,Education,Grad School of Education,Grad School of Education,2017-18,Asian/Pacific Islander,Male,New Freshmen
Toxicology UG,Nutritional Sciences & Tox,Clg of Natural Resources,Clg of Natural Resources,2017-18,Asian/Pacific Islander,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,International,Female,New Freshmen
Korean UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,Underrepresented Minority,Female,New Freshmen
Chemistry UG,Chemistry,Clg of Chemistry,Clg of Chemistry,2017-18,International,Male,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,International,Male,New Freshmen
Arabic UG,Near Eastern Studies,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Global Public Health UG,Public Health,School of Public Health,School of Public Health,2017-18,Asian/Pacific Islander,Female,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,White/Other,Female,New Freshmen
Middle Eastern Studies UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,International,Female,New Freshmen
Global Public Health UG,Public Health,School of Public Health,School of Public Health,2017-18,White/Other,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,Asian/Pacific Islander,Female,New Freshmen
Chinese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Male,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,Asian/Pacific Islander,Male,New Freshmen
Chinese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,International,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Global Public Health UG,Public Health,School of Public Health,School of Public Health,2017-18,White/Other,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,Asian/Pacific Islander,Female,New Freshmen
Sustainable Design UG,Landscape Arch & Env Plan,Clg of Environmental Design,Clg of Environmental Design,2017-18,Underrepresented Minority,Female,New Freshmen
Italian Studies UG,Italian Studies,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Geospatl Info Sci & Tech UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2017-18,White/Other,Male,New Freshmen
Peace & Conflict Studies UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,International,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,International,Female,New Freshmen
Journalism UG,Journalism,Grad School of Journalism,Grad School of Journalism,2017-18,White/Other,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Political Economy UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,White/Other,Male,New Freshmen
Energy & Resources UG,Energy & Resources Grad Grp,Clg of Natural Resources,Clg of Natural Resources,2017-18,White/Other,Female,New Freshmen
Global Public Health UG,Public Health,School of Public Health,School of Public Health,2017-18,Asian/Pacific Islander,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,Asian/Pacific Islander,Female,New Freshmen
Journalism UG,Journalism,Grad School of Journalism,Grad School of Journalism,2017-18,Underrepresented Minority,Male,New Freshmen
Political Economy UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,Asian/Pacific Islander,Female,New Freshmen
Elec Eng & Computer Sci UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,Asian/Pacific Islander,Male,New Freshmen
Conservation & Resrce St UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2017-18,Asian/Pacific Islander,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,Asian/Pacific Islander,Female,New Freshmen
Philosophy UG,Philosophy,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Male,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,Underrepresented Minority,Female,New Freshmen
Statistics UG,Statistics,L&S Math & Phys Sciences Div,Clg of Letters & Science,2017-18,Underrepresented Minority,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,International,Male,New Freshmen
English UG,English,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Female,New Freshmen
Global Public Health UG,Public Health,School of Public Health,School of Public Health,2017-18,Asian/Pacific Islander,Female,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2017-18,Asian/Pacific Islander,Female,New Freshmen
Food Systems UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2017-18,White/Other,Female,New Freshmen
Arabic UG,Near Eastern Studies,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Male,New Freshmen
Toxicology UG,Nutritional Sciences & Tox,Clg of Natural Resources,Clg of Natural Resources,2017-18,Asian/Pacific Islander,Male,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Male,New Freshmen
Logic UG,Philosophy,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Male,New Freshmen
Chemistry UG,Chemistry,Clg of Chemistry,Clg of Chemistry,2017-18,Asian/Pacific Islander,Male,New Freshmen
Anthropology UG,Anthropology,L&S Social Sciences Division,Clg of Letters & Science,2017-18,White/Other,Male,New Freshmen
Chicano Studies UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Female,New Freshmen
Food Systems UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2017-18,Underrepresented Minority,Female,New Freshmen
Asian Am/Asn Diaspora St UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Disability Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Ethnic Studies UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Male,New Freshmen
History UG,History,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Journalism UG,Journalism,Grad School of Journalism,Grad School of Journalism,2017-18,White/Other,Female,New Freshmen
Disability Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,Underrepresented Minority,Female,New Freshmen
Conservation & Resrce St UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2017-18,Asian/Pacific Islander,Female,New Freshmen
African American Studies UG,African American Studies,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,Asian/Pacific Islander,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,White/Other,Female,New Freshmen
Industrial Eng & Op Rsch UG,Industrial Eng & Ops Research,Clg of Engineering,Clg of Engineering,2017-18,Asian/Pacific Islander,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Male,New Freshmen
Japanese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,Asian/Pacific Islander,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Conservation & Resrce St UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2017-18,Asian/Pacific Islander,Male,New Freshmen
Cal Teach Sci & Math Edu UG,Education,Grad School of Education,Grad School of Education,2017-18,Underrepresented Minority,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,Underrepresented Minority,Male,New Freshmen
Global Public Health UG,Public Health,School of Public Health,School of Public Health,2017-18,White/Other,Female,New Freshmen
History of Built Environ UG,Architecture,Clg of Environmental Design,Clg of Environmental Design,2017-18,Underrepresented Minority,Female,New Freshmen
Arabic UG,Near Eastern Studies,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Female,New Freshmen
Journalism UG,Journalism,Grad School of Journalism,Grad School of Journalism,2017-18,International,Female,New Freshmen
Forestry & Nat Resources UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2017-18,White/Other,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,White/Other,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,Underrepresented Minority,Female,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2017-18,White/Other,Female,New Freshmen
Sustainable Design UG,Landscape Arch & Env Plan,Clg of Environmental Design,Clg of Environmental Design,2017-18,White/Other,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,Underrepresented Minority,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,Asian/Pacific Islander,Male,New Freshmen
Ethnic Studies UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,Underrepresented Minority,Female,New Freshmen
Ethnic Studies UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,Asian/Pacific Islander,Male,New Freshmen
Peace & Conflict Studies UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Female,New Freshmen
Chicano Studies UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,White/Other,Female,New Freshmen
Korean UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Human Rights Interdisc UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Female,New Freshmen
Toxicology UG,Nutritional Sciences & Tox,Clg of Natural Resources,Clg of Natural Resources,2017-18,Asian/Pacific Islander,Male,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Male,New Freshmen
Cal Teach Sci & Math Edu UG,Education,Grad School of Education,Grad School of Education,2017-18,Underrepresented Minority,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,Underrepresented Minority,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,Underrepresented Minority,Female,New Freshmen
Chinese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Male,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Male,New Freshmen
Scandinavian UG,Scandinavian,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Male,New Freshmen
Human Rights Interdisc UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
German UG,German,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Male,New Freshmen
Ethnic Studies UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Female,New Freshmen
Global Public Health UG,Public Health,School of Public Health,School of Public Health,2017-18,White/Other,Male,New Freshmen
Cal Teach Sci & Math Edu UG,Education,Grad School of Education,Grad School of Education,2017-18,White/Other,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,White/Other,Male,New Freshmen
Disability Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,Asian/Pacific Islander,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Geospatl Info Sci & Tech UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2017-18,Underrepresented Minority,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
History UG,History,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Female,New Freshmen
Chinese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Korean UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,Asian/Pacific Islander,Male,New Freshmen
Disability Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Human Rights Interdisc UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Male,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,Underrepresented Minority,Female,New Freshmen
Journalism UG,Journalism,Grad School of Journalism,Grad School of Journalism,2017-18,Asian/Pacific Islander,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,Underrepresented Minority,Female,New Freshmen
Chinese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,International,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Female,New Freshmen
Nutritional Science UG,Nutritional Sciences & Tox,Clg of Natural Resources,Clg of Natural Resources,2017-18,Asian/Pacific Islander,Female,New Freshmen
Cal Teach Sci & Math Edu UG,Education,Grad School of Education,Grad School of Education,2017-18,White/Other,Female,New Freshmen
Art UG,Art Practice,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,Underrepresented Minority,Male,New Freshmen
Cal Teach Sci & Math Edu UG,Education,Grad School of Education,Grad School of Education,2017-18,Underrepresented Minority,Female,New Freshmen
History UG,History,L&S Social Sciences Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Human Rights Interdisc UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Toxicology UG,Nutritional Sciences & Tox,Clg of Natural Resources,Clg of Natural Resources,2017-18,Asian/Pacific Islander,Male,New Freshmen
Physics UG,Physics,L&S Math & Phys Sciences Div,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,Asian/Pacific Islander,Female,New Freshmen
Global Public Health UG,Public Health,School of Public Health,School of Public Health,2017-18,Asian/Pacific Islander,Female,New Freshmen
Elec Eng & Computer Sci UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,Asian/Pacific Islander,Male,New Freshmen
Disability Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2017-18,White/Other,Male,New Freshmen
Sustainable Design UG,Landscape Arch & Env Plan,Clg of Environmental Design,Clg of Environmental Design,2017-18,Asian/Pacific Islander,Male,New Freshmen
Disability Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Female,New Freshmen
Cal Teach Sci & Math Edu UG,Education,Grad School of Education,Grad School of Education,2017-18,Asian/Pacific Islander,Female,New Freshmen
Elec Eng & Computer Sci UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,White/Other,Male,New Freshmen
Cal Teach Sci & Math Edu UG,Education,Grad School of Education,Grad School of Education,2017-18,Underrepresented Minority,Female,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2017-18,Asian/Pacific Islander,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Male,New Freshmen
Food Systems UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2017-18,White/Other,Female,New Freshmen
Food Systems UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2017-18,Asian/Pacific Islander,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,Asian/Pacific Islander,Female,New Freshmen
African American Studies UG,African American Studies,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Female,Advanced Standing
Chinese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,International,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,International,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,Asian/Pacific Islander,Female,New Freshmen
Arabic UG,Near Eastern Studies,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,White/Other,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,White/Other,Male,New Freshmen
Cal Teach Sci & Math Edu UG,Education,Grad School of Education,Grad School of Education,2017-18,Underrepresented Minority,Female,New Freshmen
Creative Writing UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,Underrepresented Minority,Male,New Freshmen
Middle Eastern Studies UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Conservation & Resrce St UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2017-18,Asian/Pacific Islander,Male,New Freshmen
Theater & Performance St UG,Theater Dance & Perf Stds,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Logic UG,Philosophy,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,International,Male,New Freshmen
Bioengineering UG,Bioengineering,Clg of Engineering,Clg of Engineering,2017-18,Asian/Pacific Islander,Male,New Freshmen
Journalism UG,Journalism,Grad School of Journalism,Grad School of Journalism,2017-18,Asian/Pacific Islander,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,Underrepresented Minority,Male,New Freshmen
English UG,English,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,Asian/Pacific Islander,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,Asian/Pacific Islander,Female,New Freshmen
Luso-Brazilian Lang Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,Underrepresented Minority,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,White/Other,Female,New Freshmen
Global Public Health UG,Public Health,School of Public Health,School of Public Health,2017-18,Underrepresented Minority,Male,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,Asian/Pacific Islander,Male,New Freshmen
Global Public Health UG,Public Health,School of Public Health,School of Public Health,2017-18,Underrepresented Minority,Female,New Freshmen
Theater & Performance St UG,Theater Dance & Perf Stds,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Toxicology UG,Nutritional Sciences & Tox,Clg of Natural Resources,Clg of Natural Resources,2017-18,Asian/Pacific Islander,Male,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,Asian/Pacific Islander,Female,New Freshmen
French UG,French,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Disability Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Male,Advanced Standing
Journalism UG,Journalism,Grad School of Journalism,Grad School of Journalism,2017-18,Underrepresented Minority,Female,Advanced Standing
Theater & Performance St UG,Theater Dance & Perf Stds,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Female,Advanced Standing
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,Asian/Pacific Islander,Female,New Freshmen
Philosophy UG,Philosophy,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Female,Advanced Standing
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,White/Other,Female,Advanced Standing
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,Asian/Pacific Islander,Female,New Freshmen
LGBT Studies UG,Gender & Womens Studies,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Food Systems UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2017-18,Underrepresented Minority,Female,New Freshmen
History UG,History,L&S Social Sciences Division,Clg of Letters & Science,2017-18,White/Other,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,White/Other,Male,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,Asian/Pacific Islander,Male,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,White/Other,Female,New Freshmen
Food Systems UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2017-18,White/Other,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,Asian/Pacific Islander,Female,New Freshmen
Asian Am/Asn Diaspora St UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Male,New Freshmen
